,coal_2013,gasoline_2013,gas_2013,re_heat_2013,waste_2013,hydrogen_methane_2013,grid_power_2013,self_pv_consumption_non_post_FIT_2013,private_power_generation_2013,total_2013,coal_2030,gasoline_2030,gas_2030,re_heat_2030,waste_2030,hydrogen_methane_2030,grid_power_2030,self_pv_consumption_non_post_FIT_2030,private_power_generation_2030,total_2030,coal_2040,gasoline_2040,gas_2040,re_heat_2040,waste_2040,hydrogen_methane_2040,grid_power_2040,self_pv_consumption_non_post_FIT_2040,private_power_generation_2040,total_2040,coal_2050,gasoline_2050,gas_2050,re_heat_2050,waste_2050,hydrogen_methane_2050,grid_power_2050,self_pv_consumption_non_post_FIT_2050,private_power_generation_2050,total_2050,commune_name,commune_code
234,199.48778099450757,508228.8237836974,0.0,2885.28033654716,7586.349239329397,0.0,126695.72308271739,0.0,25873.489493909205,671469.153717195,152.70017719270749,295312.88744160614,166.6899276465237,3624.3774063991864,16.063849472091764,3.4018352580923206,170198.08855773177,2007.4748763794823,26461.298724788325,497942.9827964743,0.0,152544.43682383673,0.0,5788.031259268678,13.858896895486117,0.0,139864.5930164788,2814.2477398046112,30393.903094086618,331419.0708303709,0.0,60569.891224593426,0.0,3729.611197793569,11.514796380240849,0.0,127370.82073419745,2726.457697155388,17798.2783063141,212206.57395643418,岩手郡岩手町,249.0
235,99.74389049725379,1345372.394668766,0.0,6198.964845011268,4669.924433919662,0.0,468758.8282817567,0.0,56177.309312847974,1881277.165432799,76.35008859635374,771587.7488080407,658.7518359936915,7404.075040709183,133.07375501755678,13.44391502027942,555431.2210768608,7600.004886680472,48661.64978833081,1391566.31919525,0.0,407592.01329002704,0.0,12178.674178677898,95.68345687781431,0.0,431306.20130974654,11607.60513024,55389.50438349924,918169.6817490685,0.0,187308.26909146382,0.0,8600.92491204056,70.06838518821061,0.0,389753.9997903938,14469.191972260516,33494.03781287699,633696.4919642239,岩手郡滝沢村,250.0
236,1516.1071968832814,2030737.946732417,0.0,13215.047152811345,58379.536501872564,0.0,412364.2986576055,0.0,134630.776583292,2650843.7128248815,1160.521287456627,1289242.1000318918,343.79848183241234,19721.047424572116,286.0973651771365,7.016295547600252,499711.40303753695,27747.283840971693,138154.46075548377,1976373.7285204702,-7.063404542338892e-05,626066.7788475957,0.0,29764.71686499143,233.07575400565648,0.0,431839.692236769,42299.547944655846,157147.06895177328,1287350.880529157,-6.18047897454653e-05,181489.47351803223,0.0,17224.498446647158,194.54629938363493,144040.68,374322.92994265334,51881.0439571099,82550.71527466117,851703.8873766826,紫波郡紫波町,251.0
237,1306.6449655140245,1894015.3381033684,0.0,11286.09955835151,49817.85555765308,0.0,476447.30632146617,0.0,117466.17191751103,2550339.4164238647,1000.1861606122341,1259221.9572838712,281.9902643298636,28914.35653684873,182.91877115083983,5.754903353670685,508449.7262187359,18465.572072334486,122623.70701287706,1939146.169224114,0.0,637080.6173886956,0.0,51909.158226806016,162.15926041118888,0.0,446224.70221899444,27767.418606476036,139553.41830348474,1302697.474004868,0.0,188188.91984780144,0.0,34998.174435857734,144.89265541956092,0.0,379786.3144812672,32709.842946433677,70628.09772018148,706456.242086961,紫波郡矢巾町,252.0
238,169.56461384533148,469477.69414439733,0.0,2438.711621229027,6367.198904903952,0.0,87920.6483310482,0.0,24866.807326347192,591240.624941771,129.7951506138014,283441.95596793573,73.94320595536958,5097.149589780394,1.722666865623972,1.5090450194973384,127311.56477820709,207.9929968272941,22527.633704833854,438793.2671060387,0.0,146568.026611326,0.0,8632.731967929863,1.4759159890965714,0.0,115122.21601026884,317.5836262927058,26290.654701099036,296932.68883290555,0.0,50032.18773711758,0.0,5713.124249769682,1.2191603992311402,66225.6,103898.29470734026,373.3073735026823,15435.220546478442,241678.95377460786,和賀郡西和賀町,253.0
239,179.6364483575731,1318587.4478020885,0.0,7976.758886265109,8826.592261726135,0.0,491131.93849872093,0.0,148179.26485264726,1974881.6387498053,137.33607804114067,740488.7324285283,172.27415927611182,10293.592289856264,564.0331266753519,3.5157991689002417,587274.405150218,15690.673475523956,130807.41301458128,1485431.9755218693,-0.112237498177765,397849.5031718482,0.0,12095.913081839344,438.00839143866074,0.0,492642.70347567764,23969.452811578733,136530.05374433903,1063525.5224392232,-0.09820781090554438,157382.99165688452,0.0,7428.228184583795,350.8661465558966,1020583.8,430727.42279485095,29928.09897613949,78136.39629861701,1724537.7058498207,胆沢郡金ケ崎町,254.0
240,159.59436423469973,494075.76980465156,0.0,2707.7283908510053,6365.89097812529,0.0,110858.89278255476,0.0,31584.208225837356,645752.0845462546,122.15614521755178,330637.0330185126,79.10220068372269,6283.153349142281,100.62008881626096,1.6143306261984223,121831.39404330279,3443.7798992481885,32275.371674473987,494774.2247500236,-0.004767798066078752,164195.34981368735,0.0,11183.905516388813,87.81546926108214,0.0,109948.50236555237,5159.705782172611,36441.99243564419,327017.2666149084,-0.004171823307818908,47374.14659113739,0.0,7761.233971784914,77.7745644485018,0.0,99027.41541258976,6005.618072016565,19570.99650010289,179817.18094025672,西磐井郡平泉町,255.0
241,0.0,461092.82439261425,0.0,4824.632331958923,33.86029668664296,0.0,64724.54521807669,0.0,56635.2203215011,587311.0825608376,0.0,279308.69395031803,67.78536446583678,4584.498058319584,4.991849400103893,1.3833747850170772,121035.03063539624,3243.657639273036,49424.351349373894,457670.3922213317,0.0,157922.68137587328,0.0,6701.893907537173,4.600962432948668,0.0,102533.46913528723,5040.244886982775,59879.8801103651,332082.7703784785,0.0,75083.237620799,0.0,5161.777536892354,4.164465022247908,0.0,89082.1799492038,6527.627977586824,36236.53071685206,212095.51826635626,気仙郡住田町,256.0
242,159.59083804584216,712869.8047167961,0.0,4204.160396363722,7039.45726488519,0.0,175726.37168460144,0.0,49522.42346325556,949521.8083639478,122.15954967466759,438553.10790587077,164.82763469464797,5383.26748792097,287.31851213077977,3.3638292794826117,205698.18065243124,10430.330990750694,60071.77638994561,720714.3329526989,-0.0007063404542338892,206650.49046276175,0.0,7532.707035103689,261.5268783737597,0.0,165170.2156532969,16822.92283509009,65799.9061175663,462237.768275852,-0.0006180478974546531,59227.149228082446,0.0,5256.935259293197,232.6021837013406,0.0,133123.39656493245,22663.07988109161,38431.01796107377,258934.1804601269,上閉伊郡大槌町,257.0
243,428.89952636349824,941527.4006597991,0.0,5622.664406836781,17798.431739075055,0.0,230472.58005761917,0.0,64843.80354873306,1260693.7799384266,328.30461126097316,590214.3956575891,204.4993114982205,8310.846000986643,370.42313109508456,4.173455336698377,271498.6882945212,12726.596643889152,68986.70571049128,952644.6328166685,-0.0009182425905040558,294286.4767672269,0.0,15511.800859719324,297.63243326906803,0.0,224689.8801225442,19896.40792628559,75990.30613856675,630672.5033293692,-0.0008034622666910488,97325.84231305416,0.0,10896.877572795533,243.2662384134743,0.0,191248.58137373393,25452.502417811058,42339.688018190805,367506.7571305367,下閉伊郡山田町,258.0
244,438.87321017545224,820373.119881202,0.0,7085.751574162029,16999.68233409906,0.0,155996.51130663842,0.0,75725.91751564166,1076619.8558219187,335.9403010120318,496635.6419573989,142.82781114810055,9223.53440970682,89.88277779925059,2.914853288736746,237015.55456080788,4149.230483853741,72671.10666020357,820266.6338152189,-0.00010595106813508338,266699.2888765369,0.0,13409.904369364278,75.40275049611523,0.0,203490.8704302517,6301.3462496030115,84575.83277759478,574552.6453478957,-9.270718461819796e-05,106343.35605388078,0.0,8631.058392723826,63.98056618655867,0.0,178643.82428348094,7688.304823722354,48937.47619730492,350308.00022459216,下閉伊郡岩泉町,259.0
