都道府県コード,都道府県,市区町村コード,市区町村,製造業,建設業・鉱業,農林水産業,産業部門　小計,業務,家庭,民生部門　小計,旅客自動車,貨物自動車,鉄道,船舶,運輸部門　小計,一般廃棄物,排出量合計
25,滋賀県,25383,日野町,182 ,1 ,7 ,190 ,31 ,32 ,63 ,29 ,25 ,2 ,0 ,55 ,4 ,312 
25,滋賀県,25384,竜王町,522 ,1 ,5 ,529 ,15 ,17 ,32 ,17 ,15 ,1 ,0 ,33 ,2 ,595 
25,滋賀県,25425,愛荘町,110 ,2 ,2 ,113 ,28 ,29 ,57 ,25 ,22 ,2 ,0 ,49 ,0 ,220 
25,滋賀県,25441,豊郷町,10 ,1 ,2 ,13 ,14 ,11 ,25 ,9 ,8 ,1 ,0 ,18 ,0 ,56 
25,滋賀県,25442,甲良町,26 ,1 ,1 ,28 ,7 ,10 ,18 ,9 ,11 ,1 ,0 ,21 ,0 ,66 
25,滋賀県,25443,多賀町,138 ,1 ,2 ,141 ,16 ,11 ,26 ,9 ,10 ,1 ,0 ,19 ,0 ,187 
26,京都府,26100,京都市,"1,598 ",78 ,29 ,"1,704 ","3,401 ","2,494 ","5,895 ",896 ,574 ,108 ,0 ,"1,578 ",145 ,"9,322 "
26,京都府,26201,福知山市,159 ,8 ,18 ,184 ,160 ,129 ,289 ,91 ,82 ,6 ,0 ,179 ,5 ,657 
26,京都府,26202,舞鶴市,98 ,7 ,12 ,117 ,165 ,147 ,312 ,97 ,70 ,7 ,42 ,216 ,5 ,650 
26,京都府,26203,綾部市,55 ,2 ,10 ,68 ,54 ,57 ,112 ,39 ,37 ,3 ,0 ,79 ,2 ,260 
26,京都府,26204,宇治市,346 ,7 ,10 ,363 ,249 ,295 ,544 ,146 ,62 ,15 ,0 ,223 ,12 ,"1,142 "
26,京都府,26205,宮津市,6 ,2 ,6 ,14 ,43 ,32 ,75 ,21 ,21 ,2 ,0 ,43 ,5 ,138 
26,京都府,26206,亀岡市,82 ,4 ,9 ,95 ,116 ,137 ,253 ,92 ,64 ,7 ,0 ,163 ,13 ,523 
26,京都府,26207,城陽市,58 ,3 ,4 ,65 ,92 ,124 ,216 ,65 ,30 ,6 ,0 ,101 ,6 ,389 
26,京都府,26208,向日市,24 ,2 ,0 ,26 ,69 ,84 ,153 ,37 ,18 ,4 ,0 ,59 ,7 ,245 
26,京都府,26209,長岡京市,192 ,3 ,0 ,195 ,112 ,127 ,239 ,54 ,22 ,6 ,0 ,82 ,10 ,526 
26,京都府,26210,八幡市,79 ,2 ,0 ,82 ,88 ,115 ,203 ,61 ,45 ,6 ,0 ,112 ,5 ,401 
26,京都府,26211,京田辺市,77 ,2 ,1 ,80 ,96 ,94 ,191 ,54 ,29 ,5 ,0 ,88 ,8 ,366 
26,京都府,26212,京丹後市,46 ,5 ,13 ,65 ,94 ,82 ,176 ,64 ,61 ,5 ,0 ,129 ,7 ,377 
26,京都府,26213,南丹市,108 ,3 ,12 ,123 ,52 ,50 ,102 ,35 ,40 ,3 ,0 ,78 ,0 ,302 
26,京都府,26214,木津川市,21 ,3 ,1 ,25 ,75 ,97 ,172 ,63 ,33 ,5 ,0 ,101 ,3 ,301 
26,京都府,26303,大山崎町,108 ,1 ,0 ,109 ,17 ,23 ,40 ,11 ,5 ,1 ,0 ,17 ,2 ,167 
26,京都府,26322,久御山町,143 ,3 ,6 ,151 ,75 ,25 ,100 ,21 ,33 ,1 ,0 ,55 ,1 ,307 
26,京都府,26343,井手町,11 ,1 ,0 ,13 ,11 ,12 ,23 ,8 ,9 ,1 ,0 ,18 ,1 ,55 
26,京都府,26344,宇治田原町,42 ,1 ,1 ,44 ,13 ,13 ,26 ,11 ,10 ,1 ,0 ,22 ,1 ,92 
26,京都府,26364,笠置町,0 ,0 ,1 ,1 ,3 ,3 ,5 ,2 ,2 ,0 ,0 ,4 ,0 ,10 
26,京都府,26365,和束町,1 ,0 ,3 ,4 ,5 ,6 ,12 ,6 ,9 ,0 ,0 ,15 ,0 ,32 
26,京都府,26366,精華町,9 ,1 ,0 ,10 ,43 ,50 ,93 ,31 ,13 ,3 ,0 ,47 ,2 ,152 
26,京都府,26367,南山城村,0 ,0 ,2 ,3 ,3 ,5 ,8 ,4 ,5 ,0 ,0 ,10 ,0 ,21 
26,京都府,26407,京丹波町,17 ,1 ,12 ,30 ,21 ,23 ,44 ,18 ,23 ,1 ,0 ,42 ,0 ,116 
26,京都府,26463,伊根町,0 ,0 ,2 ,3 ,4 ,3 ,7 ,2 ,3 ,0 ,0 ,5 ,0 ,15 
