都道府県コード,都道府県,市区町村コード,市区町村,製造業,建設業・鉱業,農林水産業,産業部門　小計,業務,家庭,民生部門　小計,旅客自動車,貨物自動車,鉄道,船舶,運輸部門　小計,一般廃棄物,排出量合計,
5 ,秋田県,5366,井川町,13 ,1 ,3 ,16 ,4 ,8 ,11 ,5 ,5 ,0 ,0 ,10 ,1 ,38 ,
5 ,秋田県,5368,大潟村,11 ,0 ,7 ,19 ,5 ,5 ,10 ,3 ,10 ,0 ,0 ,13 ,1 ,42 ,
5 ,秋田県,5434,美郷町,21 ,3 ,11 ,35 ,16 ,29 ,45 ,19 ,23 ,1 ,0 ,44 ,2 ,125 ,
5 ,秋田県,5463,羽後町,19 ,2 ,10 ,31 ,12 ,23 ,35 ,14 ,17 ,1 ,0 ,31 ,1 ,98 ,
5 ,秋田県,5464,東成瀬村,1 ,0 ,4 ,5 ,2 ,4 ,6 ,2 ,4 ,0 ,0 ,6 ,0 ,17 ,
6 ,山形県,6201,山形市,129 ,18 ,22 ,168 ,438 ,431 ,869 ,256 ,154 ,15 ,0 ,425 ,27 ,"1,490 ",
6 ,山形県,6202,米沢市,314 ,6 ,12 ,332 ,120 ,137 ,257 ,83 ,58 ,5 ,0 ,146 ,12 ,747 ,
6 ,山形県,6203,鶴岡市,205 ,11 ,24 ,240 ,157 ,204 ,361 ,128 ,108 ,8 ,0 ,244 ,18 ,863 ,
6 ,山形県,6204,酒田市,129 ,11 ,23 ,163 ,143 ,176 ,318 ,108 ,98 ,6 ,5 ,218 ,11 ,710 ,
6 ,山形県,6205,新庄市,35 ,4 ,6 ,44 ,55 ,58 ,113 ,36 ,35 ,2 ,0 ,73 ,3 ,234 ,
6 ,山形県,6206,寒河江市,74 ,4 ,4 ,82 ,48 ,59 ,107 ,44 ,41 ,3 ,0 ,87 ,4 ,280 ,
6 ,山形県,6207,上山市,46 ,2 ,18 ,66 ,31 ,47 ,78 ,31 ,25 ,2 ,0 ,58 ,3 ,205 ,
6 ,山形県,6208,村山市,26 ,2 ,5 ,33 ,21 ,34 ,55 ,25 ,29 ,1 ,0 ,55 ,3 ,146 ,
