都道府県コード,都道府県,市区町村コード,市区町村,製造業,建設業・鉱業,農林水産業,産業部門　小計,業務,家庭,民生部門　小計,旅客自動車,貨物自動車,鉄道,船舶,運輸部門　小計,一般廃棄物,排出量合計
31,鳥取県,31386,大山町,46 ,2 ,22 ,71 ,18 ,34 ,52 ,20 ,32 ,1 ,0 ,53 ,1 ,177 
31,鳥取県,31389,南部町,14 ,1 ,1 ,16 ,8 ,22 ,31 ,13 ,14 ,1 ,0 ,28 ,2 ,76 
31,鳥取県,31390,伯耆町,7 ,1 ,8 ,16 ,15 ,22 ,37 ,14 ,16 ,1 ,0 ,30 ,2 ,85 
31,鳥取県,31401,日南町,1 ,1 ,16 ,18 ,6 ,14 ,20 ,6 ,11 ,0 ,0 ,18 ,1 ,56 
31,鳥取県,31402,日野町,2 ,1 ,2 ,5 ,5 ,9 ,14 ,4 ,6 ,0 ,0 ,10 ,1 ,30 
31,鳥取県,31403,江府町,2 ,1 ,0 ,3 ,4 ,7 ,11 ,4 ,6 ,0 ,0 ,10 ,1 ,24 
32,島根県,32201,松江市,224 ,36 ,57 ,318 ,511 ,384 ,895 ,230 ,175 ,12 ,32 ,450 ,11 ,"1,673 "
32,島根県,32202,浜田市,112 ,11 ,65 ,188 ,127 ,124 ,251 ,64 ,64 ,4 ,4 ,135 ,3 ,578 
32,島根県,32203,出雲市,757 ,34 ,46 ,836 ,308 ,267 ,575 ,199 ,179 ,10 ,1 ,390 ,22 ,"1,823 "
32,島根県,32204,益田市,54 ,10 ,40 ,104 ,106 ,101 ,207 ,55 ,58 ,3 ,0 ,115 ,5 ,432 
32,島根県,32205,大田市,70 ,7 ,23 ,101 ,67 ,78 ,145 ,43 ,45 ,2 ,0 ,91 ,0 ,337 
32,島根県,32206,安来市,303 ,6 ,2 ,311 ,65 ,67 ,132 ,50 ,52 ,3 ,1 ,106 ,2 ,551 
32,島根県,32207,江津市,82 ,5 ,7 ,94 ,44 ,57 ,101 ,28 ,24 ,2 ,1 ,55 ,1 ,252 
32,島根県,32209,雲南市,130 ,10 ,25 ,165 ,57 ,65 ,122 ,50 ,58 ,3 ,0 ,111 ,0 ,398 
32,島根県,32343,奥出雲町,29 ,4 ,27 ,59 ,19 ,24 ,43 ,16 ,22 ,1 ,0 ,39 ,1 ,142 
32,島根県,32386,飯南町,13 ,1 ,10 ,24 ,7 ,11 ,17 ,6 ,9 ,0 ,0 ,15 ,0 ,56 
32,島根県,32441,川本町,1 ,1 ,2 ,4 ,8 ,9 ,18 ,4 ,7 ,0 ,0 ,11 ,0 ,33 
32,島根県,32448,美郷町,3 ,2 ,11 ,16 ,7 ,12 ,19 ,6 ,8 ,0 ,0 ,15 ,0 ,50 
32,島根県,32449,邑南町,18 ,3 ,11 ,32 ,18 ,25 ,43 ,13 ,19 ,1 ,0 ,33 ,1 ,108 
32,島根県,32501,津和野町,8 ,2 ,10 ,20 ,17 ,19 ,35 ,9 ,12 ,1 ,0 ,22 ,1 ,78 
32,島根県,32505,吉賀町,20 ,1 ,6 ,28 ,11 ,15 ,26 ,7 ,11 ,0 ,0 ,19 ,1 ,73 
32,島根県,32525,海士町,0 ,1 ,5 ,6 ,4 ,5 ,10 ,2 ,4 ,0 ,2 ,8 ,0 ,23 
32,島根県,32526,西ノ島町,0 ,1 ,15 ,16 ,6 ,8 ,14 ,3 ,5 ,0 ,22 ,29 ,0 ,60 
32,島根県,32527,知夫村,0 ,0 ,0 ,0 ,1 ,2 ,3 ,0 ,1 ,0 ,11 ,12 ,0 ,15 
32,島根県,32528,隠岐の島町,5 ,5 ,45 ,54 ,29 ,35 ,64 ,15 ,25 ,1 ,18 ,59 ,2 ,179 
33,岡山県,33100,岡山市,"4,603 ",93 ,37 ,"4,734 ","1,542 ","1,511 ","3,053 ",776 ,583 ,40 ,16 ,"1,416 ",112 ,"9,315 "
33,岡山県,33202,倉敷市,"19,338 ",59 ,13 ,"19,410 ",838 ,970 ,"1,808 ",557 ,384 ,28 ,153 ,"1,121 ",66 ,"22,404 "
33,岡山県,33203,津山市,993 ,17 ,9 ,"1,019 ",222 ,230 ,452 ,133 ,133 ,6 ,0 ,273 ,7 ,"1,750 "
33,岡山県,33204,玉野市,"1,352 ",7 ,5 ,"1,364 ",93 ,147 ,240 ,77 ,49 ,4 ,262 ,392 ,5 ,"2,001 "
33,岡山県,33205,笠岡市,907 ,5 ,9 ,922 ,78 ,121 ,199 ,61 ,51 ,3 ,12 ,127 ,6 ,"1,253 "
33,岡山県,33207,井原市,795 ,5 ,10 ,810 ,51 ,86 ,137 ,50 ,55 ,3 ,0 ,108 ,4 ,"1,059 "
33,岡山県,33208,総社市,"1,085 ",5 ,5 ,"1,096 ",71 ,122 ,193 ,80 ,60 ,4 ,0 ,144 ,12 ,"1,445 "
33,岡山県,33209,高梁市,454 ,6 ,6 ,466 ,62 ,75 ,138 ,37 ,50 ,2 ,0 ,89 ,3 ,696 
33,岡山県,33210,新見市,341 ,7 ,18 ,366 ,50 ,69 ,118 ,39 ,53 ,2 ,0 ,94 ,5 ,584 
33,岡山県,33211,備前市,"1,133 ",4 ,3 ,"1,141 ",64 ,86 ,149 ,48 ,42 ,2 ,12 ,105 ,4 ,"1,399 "
33,岡山県,33212,瀬戸内市,500 ,3 ,27 ,529 ,47 ,74 ,121 ,46 ,42 ,2 ,1 ,91 ,3 ,744 
33,岡山県,33213,赤磐市,298 ,4 ,8 ,309 ,45 ,86 ,131 ,55 ,45 ,3 ,0 ,102 ,4 ,546 
33,岡山県,33214,真庭市,420 ,11 ,21 ,451 ,85 ,94 ,179 ,62 ,85 ,3 ,0 ,150 ,5 ,785 
33,岡山県,33215,美作市,261 ,6 ,5 ,272 ,46 ,67 ,114 ,39 ,52 ,2 ,0 ,93 ,4 ,482 
33,岡山県,33216,浅口市,210 ,3 ,1 ,214 ,43 ,72 ,115 ,42 ,31 ,2 ,0 ,76 ,5 ,410 
